Priority,Subcatagory,Priority Issues,Group name,Workshop Date
Strong Neighborhoods,Funding/Resources,Funding resources for social services:  1) smaller nonprofits recover funding; 2) funding for the family support program.,13,03/08/2010 08:00:00 AM +0000
Strong Neighborhoods,Funding/Resources,Increase public funding for faith and cultural programs.,22,03/01/2010 08:00:00 AM +0000
Strong Neighborhoods,Funding/Resources,Lack of funding for African centered community based education.,Black Star Line,03/21/2010 07:00:00 AM +0000
Strong Neighborhoods,Funding/Resources,Lack of funding for non-profit organizations,School's Out Washington Group A,04/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Funding/Resources,Lack of funding for services,West Seattle Human Services Providers,04/07/2010 07:00:00 AM +0000
Strong Neighborhoods,Funding/Resources,Lack of funding for social support,11,03/01/2010 08:00:00 AM +0000
Strong Neighborhoods,Funding/Resources,Mandate funding for Native Community needs and secure it,School's Out WA,04/27/2010 07:00:00 AM +0000
Strong Neighborhoods,Funding/Resources,More community based organizations to provide life & job skills,17,03/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Funding/Resources,more physical and monetary resources for drop in centers,Youth Care Group A,04/20/2010 07:00:00 AM +0000
Strong Neighborhoods,Funding/Resources,Need for more ELL resources,Seattle Art Museum-- Group B,04/29/2010 07:00:00 AM +0000
Strong Neighborhoods,Funding/Resources,Need steady source of funding,8,03/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Funding/Resources,"No continuous investment in services, from birth through young adulthood using holistic approaches",School Age Implementation Team,
Strong Neighborhoods,Funding/Resources,"programs where parents can pay for services (after school programs, child care) with volunteer time rather than money, would give parents a service they need and increase community involvement",United Indians Family Support Workers,04/19/2010 07:00:00 AM +0000
Strong Neighborhoods,Funding/Resources,stability with economy (especially ways to keep schools immune to economic fixes),The Vera Project -- Group D,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Funding/Resources,Stabilization of funding for support services,15,
Strong Neighborhoods,Funding/Resources,System that is not fully funded,Homeless Youth and Young Adult Service Providers,04/13/2010 07:00:00 AM +0000
Strong Neighborhoods,Funding/Resources,United $ leads to competition for $,7,03/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Gentrification,stop gentrification and condo building,The Vera Project -- Group D,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Government,Government needs to use money more effectively/efficiently. ,Belltown Community Group B,04/28/2010 07:00:00 AM +0000
Strong Neighborhoods,Government,Lack of involvement and access with broader early learning and pre-k systems and coalitions; the City is insular and often makes decisions that affect the community in a vacuum,Child Care Resources,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Government,more involved mayor: more talk and less action,Youth Care Group B,04/20/2010 07:00:00 AM +0000
Strong Neighborhoods,Government,"silo-ing of major issues.  Local government takes a holistic, united approach to solving problems",Central District community members,04/18/2010 07:00:00 AM +0000
Strong Neighborhoods,Government,Training for City Staff,Seattle Commission for People with Disabilities-- Group A,05/12/2010 07:00:00 AM +0000
Strong Neighborhoods,Haiti Relief,Haiti relief,Penny Harvest -- South Seattle,04/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Haiti Relief,Haiti/Disaster Recovery,Penny Harvest -- Central Seattle,04/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Health and Safety,"1. We want a safe, health community to help raise safe, healthy kids. We want the support that is required to allow us to enjoy our lives and encourage our connections with our families and our communities",Web,
Strong Neighborhoods,Health and Safety,Priorities are ensuring the health and welfare of children and families.  The challenges inherent in addressing these priorities include large immigrant populations in which parents may not be able to advocate for their children on a variety of levels and children may not be able to access health or educational resources; high rates (upwards of 20%) of diagnosable mental health disorders in children and teens; and a funding environment that limits the availability of programs to help address these issues.,Web,
Strong Neighborhoods,Health and Safety,"We want everyone to grow up safe and healthy. Priority challenges - Access to health care; respect for all levels of achievement - including the gifted, who seem to be 'dissed' these days.",Web,
Strong Neighborhoods,Homeless Youth,"bus cards for the homeless youth, cheaper fares in general, free ride for anyone under 18",Youth Care Group A,04/20/2010 07:00:00 AM +0000
Strong Neighborhoods,Homelessness,2. Lack of social program funding (ex. for the homeless),Young Democrats Group A,04/30/2010 07:00:00 AM +0000
Strong Neighborhoods,Homelessness,3. insufficient resources for the homeless,Young Democrats Group B,04/20/2010 07:00:00 AM +0000
Strong Neighborhoods,Homelessness,Criminal charges against homelessness—civility laws,Homeless Single Mothers,04/06/2010 07:00:00 AM +0000
Strong Neighborhoods,Homelessness,"finding a place to sleep, no housing",Youth Care Group A,04/20/2010 07:00:00 AM +0000
Strong Neighborhoods,Homelessness,homelessness,Penny Harvest -- South Seattle,04/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Homelessness,Lack of vision and comprehensive plan around the issue of homelessness,Homeless Youth and Young Adult Service Providers,04/13/2010 07:00:00 AM +0000
Strong Neighborhoods,Homelessness,more men's shelters for single men and also for men with families,Youth Care Group B,04/20/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,5. unregulated rental housing market,Young Democrats Group B,04/20/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,Address housing situation,13,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Housing,affordable/accessible housing for youth and families,Seattle Commission for People with Disabilities-- Group B,05/12/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,Affordable good housing.,Web,
Strong Neighborhoods,Housing,affordable housing,14,03/08/2010 08:00:00 AM +0000
Strong Neighborhoods,Housing,Affordable housing,Denise Louie Group A,04/30/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,Affordable housing,Somali community,04/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,Affordable housing and access to resources / services for refugees and those new to Seattle,,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,Affordable housing for low income families in the City of Seattle,Casa Latina,05/06/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,Affordable housing.  Develop varieties of quality housing options to fit different income and lifestyle needs.,Seattle Central Community College Group B,05/10/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,"Affordable, well-designed, family sized housing",Belltown Community Group B,04/28/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,Better-built homes,12,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,"Decent, affordable housing, especially home ownership opportunities. Also city wide mass transit which is safe & reasonably priced.",Web,
Strong Neighborhoods,Housing,"Derelict houses and lots: How can we turn these properties into new, affordable housing?",Roosevelt Neighborhood Assc.,03/23/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,FCS Affordable Housing Initiative,Filipino Community,
Strong Neighborhoods,Housing,Hard to find a low income housing.,Somali community,04/16/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,Housing,4,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,Housing – adequate and inexpensive,15,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Housing,Housing for low income families-avoid homelessness,United Indians Organization Group A,04/30/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,Housing for low income families-avoid homelessness,United Indians Organization Group B,04/30/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,Housing is too expensive,Spanish speaking community,04/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,Lack of affordable housing (gentrification).,Black Star Line,03/21/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,Lack of alternatives to single family homes,Belltown Community Group D,04/28/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,Long waiting list for housing and have to go through too many hoops,Homeless Youth and Young Adult Service Providers,04/13/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,More / innovative housing downtown that is designed for families,Belltown Community Group A,04/28/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,The housing price is expensive. The utilities are expensive. We need affordable housing or place to live.,Khmer community,03/20/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,There's a lack of homes and common space designed for families,Belltown Community Group C,04/28/2010 07:00:00 AM +0000
Strong Neighborhoods,Immigration,Immigration,Latino community,04/13/2010 07:00:00 AM +0000
Strong Neighborhoods,Immigration,Immigration Reform,Latino community,04/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Immigration,Increase opportunities for ELL families.  More immigrant and refugee advocacy.,Vietnamese Friendship Association,04/13/2010 07:00:00 AM +0000
Strong Neighborhoods,Immigration,Need for just and equitable “Immigration Reform” legislation,Latino community,04/20/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,1. Lack of employment,Filipino community,04/11/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,3) Lack of employment opportunities for new immigrants,Filipino community,04/18/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,5) Lack of job opportunities and computer literacy programs for elders and retired,Filipino community,04/18/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,Better jobs,12,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,"better jobs with benefits, good pay and possibility for promotion.",El Centro de la Raza parent group,04/07/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,employment issues for people with disabilities,Seattle Commission for People with Disabilities-- Group B,05/12/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,employment services especially for immigrant families,Web,
Strong Neighborhoods,Jobs/Training,Good jobs that pay well,Spanish speaking community,04/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,Job opportunities,24,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,Job training for teens & adults.,Web,
Strong Neighborhoods,Jobs/Training,Jobs,,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,Jobs,15,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,Jobs for youth and adults,16,03/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,Jobs for youth/living wage jobs for adults,Somali community,04/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,Jobs: Needing more jobs and supporting smaller businesses.,,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,Lack of $$ for employment and training,10,03/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,lack of employment opportunities,El Centro de la Raza,04/01/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,More jobs,4,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,More quality job training ,Refugee Women's Alliance -- Bhutanese community,05/16/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,Not enough jobs,17,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,not enough jobs,Hope for Youth Group A,05/03/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,not enough jobs,Seattle Youth Employment,04/27/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,"Nothing will change because no jobs, recession.",12,03/08/2010 08:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,programs to help find jobs,Youth Care Group A,04/20/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,There is no job or not enough job in Seattle for people to work. We need to have job available for everyone. We want to work badly. We don't want stay unemployed. ,Khmer community,03/28/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,There is not enough jobs for people in Seattle. There are a lot of people get laid off and can not find any new jobs. ,Khmer community,03/20/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,"There is not enough skill training school, ESL class for us to learn in order to be able to get a job.",Khmer community,03/20/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,Too few jobs that pay well.,2,03/01/2010 08:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,Unemployment,11,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,Unemployment,Latino community,04/13/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,Unemployment,Latino community,04/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Jobs/Training,"We want them to have jobs that support their families, access to health care to maintain health and environments that are safe, and opportunities to achieve.",Web,
Strong Neighborhoods,Jobs/Training,We were promised jobs before we came to the U.S,Refugee Women's Alliance -- Bhutanese community,05/16/2010 07:00:00 AM +0000
Strong Neighborhoods,Kinship care,lack of dedicated funding to kinship care,King County Kinship Care Collaborative,04/12/2010 07:00:00 AM +0000
Strong Neighborhoods,Kinship care,Lack of Kinship care and adolescence resources,King County Kinship Care Collaborative,04/12/2010 07:00:00 AM +0000
Strong Neighborhoods,Kinship care,support is needed on several levels for kinship care providers and families including gaining access to existing resources,King County Kinship Care Collaborative,04/12/2010 07:00:00 AM +0000
Strong Neighborhoods,Language ,Language barriers makes it hard to speak up.  Conversations between adults are limited.,"Seattle Parks Employees (CLC, TDL, AC)",05/11/2010 07:00:00 AM +0000
Strong Neighborhoods,Language,Language Classes (to help with jobs),15,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Legalize Marijuana,Legalize Marijuana,Students Against Violence Everywhere Group C,04/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Libraries and Parks,Development of Sandpoint/Magnuson Park,View Ridge Community Council Group B,04/20/2010 07:00:00 AM +0000
Strong Neighborhoods,Libraries and Parks,Fund Seattle libraries adequately.,13,03/01/2010 08:00:00 AM +0000
Strong Neighborhoods,Libraries and Parks,Inadequate funding to public libraries,Child Care Resources,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Libraries and Parks,Not enough funding for programs and libraries.,2,03/01/2010 08:00:00 AM +0000
Strong Neighborhoods,Libraries and Parks,Open libraries longer in more areas.,4,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Libraries and Parks,"Please support full Seattle Public Library access and services. I use the Northeast Library extensively. My library is always packed--it is essential for students, families, and the unemployed. It's a community gathering place. The computers are always busy and students need the library as a safe after school destination. Libraries must be included in funding for youth and families.",Web,
Strong Neighborhoods,Libraries and Parks,Resources such as libraries and parks are undervalued.,12,03/01/2010 08:00:00 AM +0000
Strong Neighborhoods,Literacy,literacy,Seattle Commission for People with Disabilities-- Group B,05/12/2010 07:00:00 AM +0000
Strong Neighborhoods,Literacy,No literacy programs in community centers ,Next Steps Coalition -- Group B,04/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Living Wage,4. There are not enough living wage jobs.,Young Democrats Group C,04/18/2010 07:00:00 AM +0000
Strong Neighborhoods,Living Wage,Living wage housing / jobs,Belltown Community Group D,04/28/2010 07:00:00 AM +0000
Strong Neighborhoods,Mentoring,Mentors,13,03/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Mobility,Mobility,Seattle Commission for People with Disabilities-- Group A,05/12/2010 07:00:00 AM +0000
Strong Neighborhoods,Neighborhood Image,stereotypes surrounding certain schools and neighborhoods,Aki Kurose Students- Van Asselt Community,04/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Nurturing Home,A nurturing home and community.,Web,
Strong Neighborhoods,Parent Involvement,Disproportionate in parental participation in inner-city predominantly schools of color.,African American Community/Parent Coalition,04/12/2010 07:00:00 AM +0000
Strong Neighborhoods,Parks,"More safe playgrounds, parks, green space, common areas",Belltown Community Group A,04/28/2010 07:00:00 AM +0000
Strong Neighborhoods,Pets,pets,Penny Harvest -- North Seattle,04/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Poverty,Pervasive poverty; hopelessness/apathy among young people,Young Democrats,03/30/2010 07:00:00 AM +0000
Strong Neighborhoods,Poverty,Poverty,9,03/01/2010 08:00:00 AM +0000
Strong Neighborhoods,Prevention,"Fund prevention, give kids world-class skills.",6,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Program Information,"Lack of community knowledge and use of successful programs. such as Royal, Alive and Free, Oasis Prac model, C2P2, Praxis/Perry Preschool Proj.",Black Child Development Institute,04/17/2010 07:00:00 AM +0000
Strong Neighborhoods,Queer Spaces,No current LGBT community center,Seattle LGBT Commission,05/04/2010 07:00:00 AM +0000
Strong Neighborhoods,Queer Spaces,There is not a Center working on difference and celebration. there is not really a space for LGBTQ.,People of Color Against AIDS Network,05/13/2010 07:00:00 AM +0000
Strong Neighborhoods,Racism,The existence of institutional racism is a continuing challenge for the health of the community,Seattle Art Museum-- Group A,04/29/2010 07:00:00 AM +0000
Strong Neighborhoods,Recreation,after school programs--recreation opportunities for physical disabilities,Seattle Commission for People with Disabilities-- Group B,05/12/2010 07:00:00 AM +0000
Strong Neighborhoods,Recreation,recreation center,East African Community Group A,04/30/2010 07:00:00 AM +0000
Strong Neighborhoods,Race and Social Justice,"Seattle lacks a connection between schools and communities in regard to communication, outreach, and working together toward common goals. Many people are unable/don’t know how to navigate bureaucracy to improve schools; inability to speak “the language” (literally and figuratively); need for outreach positions (being cut in district) More communication by district with families; outreach to diverse communities Schools not being used as neighborhood/community centers or gathering centers Public safety in the southeast quadrant, in particular, is lacking; it would be one of the cornerstones of a successful neighborhood and school linkage.  Need for a fundamental change in the school system’s ability to listen to input from the community, reflect their understanding of community concerns back to community members, and flexibly incorporate community concerns into their decision-making process. 
",Special Ed PTSA,05/12/2010 07:00:00 AM +0000
Strong Neighborhoods,Social Currency,Shift using social currency.,13,03/01/2010 08:00:00 AM +0000
Strong Neighborhoods,Social Skill Building,programs to teach social skills,A+ Group A,05/06/2010 07:00:00 AM +0000
Strong Neighborhoods,Social/Emotional Support,"More support, social and emotional.",6,03/01/2010 08:00:00 AM +0000
Strong Neighborhoods,Sports,Bring back the Sonics: - Sign a petition. Tell the owner to bring them back. Fundraiser partner with IKGA. Lobby with NBA to give expansion team.,1,04/08/2010 07:00:00 AM +0000
Youth Development,Puberty,Puberty.,Tigrinya-speaking community,04/29/2010 07:00:00 AM +0000
Strong Neighborhoods,Sustainability,Lack of energy efficiency/sustainability,View Ridge Community Council Group B,04/20/2010 07:00:00 AM +0000
Strong Neighborhoods,Technology ,"Narrowing the internet gap in various areas of the city, home access is too sparse, expensive, and leads to disadvantages in communications and learning for children
",Somali community,04/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Technology,"Technological development, equitable access for all",Central District community members,04/18/2010 07:00:00 AM +0000
Strong Neighborhoods,Technology,"Technology access: All families, including low-income families and families with limited English, must have access to computers and the Internet.",7,03/08/2010 08:00:00 AM +0000
Strong Neighborhoods,Transportation,1. Inadequate transportation,Young Democrats Group A,04/30/2010 07:00:00 AM +0000
Strong Neighborhoods,Transportation,"Our bus system is inefficient , prone to security issues and inaccessible to responsible adults who would like to participate in nightlife without driving under the influence (intoxicated driving risks licenses, being able to take kids to school, risking lives).
",Young Democrats Group C,04/18/2010 07:00:00 AM +0000
Strong Neighborhoods,Transportation,Buses that run on time,Spanish speaking community,04/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Transportation,Crowded buses,Hope for Youth Group D,05/03/2010 07:00:00 AM +0000
Strong Neighborhoods,Transportation,Faster transportation,Hope for Youth Group E,05/03/2010 07:00:00 AM +0000
Strong Neighborhoods,Transportation,improved transportation,The Vera Project-- Group A,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Transportation,Inefficient Metro system,7,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Transportation,lack of incentive to take public transportation,At-risk youth,04/14/2010 07:00:00 AM +0000
Strong Neighborhoods,Transportation,lack of subsidized public transit,At-risk youth,04/14/2010 07:00:00 AM +0000
Strong Neighborhoods,Transportation,Make Metro buses better,Development Class,05/10/2010 07:00:00 AM +0000
Strong Neighborhoods,Transportation,more affordable public transit,Young Democrats,03/30/2010 07:00:00 AM +0000
Strong Neighborhoods,Transportation,More and affordable bus options.,6,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Transportation,More light rail,6,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Transportation,"need more transportation to neighborhoods south of downtown-- more stops, more routes that go east-west, west-east",Seattle Central Community College,05/06/2010 07:00:00 AM +0000
Strong Neighborhoods,Transportation,"ORCA minimum is too high, you have to use the vending machine to load it, its too hard to track your balance, and you can't redeem your cash value, and it tracks your travel and is too intrusive",At-risk youth,04/14/2010 07:00:00 AM +0000
Strong Neighborhoods,Transportation,public transportation system,The Vera Project -- Group C,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Transportation,Too many buses to get to one place,Hope for Youth Group C,05/03/2010 07:00:00 AM +0000
Strong Neighborhoods,Transportation,transportation,UW Transfer Students,
Strong Neighborhoods,Transportation,Transportation (Metro),Hamilton Middle School,03/01/2010 08:00:00 AM +0000
Strong Neighborhoods,Transportation,transportation and biking,The Vera Project -- Group D,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Transportation,Transportation: no bus cards for students; no regular school buses,23,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Urgency,A sense of urgency,18,03/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Vision,focus on long-term vision,The Vera Project -- Group D,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Vision,Lack of shared leadership/vision for the community,School Age Implementation Team,
Strong Neighborhoods,Working Class,Need more social support and services for working-class poor,13,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Zoning,Zoning,6,03/08/2010 08:00:00 AM +0000
Youth Development,After School Programs,After school programs that support a broad range of youth needs,Public Health Advocates and Care Providers,05/04/2010 07:00:00 AM +0000
Youth Development,After School Programs,After school youth facilities with culturally competent learning,4,03/15/2010 07:00:00 AM +0000
Youth Development,After School Programs,After-school activities,2,02/22/2010 08:00:00 AM +0000
Youth Development,After School Programs,After-school activities for middle schoolers and teens.,15,03/01/2010 08:00:00 AM +0000
Youth Development,After School Programs,"Before, During and after school Assistance and help with transportation.",Somali community,03/24/2010 07:00:00 AM +0000
Youth Development,After School programs,Families need to be invested in schools:  1) after-school programs and 2) creating opportunities for families.,13,03/08/2010 08:00:00 AM +0000
Youth Development,After School Programs,"free accessible after school and summer programs for children especially w working parents, which are educational and include strong adult (especially male) role models",United Indians Family Support Workers,04/19/2010 07:00:00 AM +0000
Youth Development,After School Programs,Fund Native afterschool programs for middle and high school youth in different regions of Seattle.,School's Out WA,04/27/2010 07:00:00 AM +0000
Youth Development,After School Programs,Insufficient coordination school & out of school programs,8,03/22/2010 07:00:00 AM +0000
Youth Development,After School Programs,Lack of after school program for youth and their parents.,Amharic-speaking community,04/10/2010 07:00:00 AM +0000
Youth Development,After School Programs,more organized activities for youth in the afterschool communities,East African Community Group B,04/30/2010 07:00:00 AM +0000
Youth Development,Queer Youth,Lack of resources/support for Queer Youth,10,04/08/2010 07:00:00 AM +0000
Youth Development,After School Programs,need more after school activities,Ethiopian Youth Media Group A,05/03/2010 07:00:00 AM +0000
Youth Development,After School Programs,need more after school activities,Ethiopian Youth Media group B,05/03/2010 07:00:00 AM +0000
Youth Development,After School Programs,"Out-of-school activities and teaching team. Tutoring, mentoring with community-based agencies. Bilingual culturally appropriate and individualized. Not school district or government run, but funded. Address urgent needs.",11,03/08/2010 08:00:00 AM +0000
Youth Development,After School Programs,Quality after school programs K-12,1,03/22/2010 07:00:00 AM +0000
Youth Development,After School Programs,"There's a lack of high quality, affordable early learning and after school programs.",6,03/22/2010 07:00:00 AM +0000
Youth Development,After school programs,Washington Middle School benefits in many ways from this levy.  Two significant programs that are funded (part or whole) by this levy are the YMCA CLC program and the Middle School Support Program (includes current funding for our tutor program and one of our additional counseling supports).  Education and before/after school programs are very important!!!,Web,
Youth Development,After School Programs,"We lack a place where our children can be helped with their homework in the neighborhood, and people who understand their needs and can help. Furthermore, we need a place where we can teach kids our heritages
 so that they become healthy and productive citizens our collective society.",Oromo community,04/03/2010 07:00:00 AM +0000
Youth Development,After school programs,We Something to do before and after school that is in a safe environment. We want kids who grow up to be working adults.,Web,
Youth Development,Arts Programs,more music and media art programs for kids,Ethiopian Youth Media Group A,05/03/2010 07:00:00 AM +0000
Youth Development,Basic Needs,"Inadequate funds to meet basic daily needs for youth 18 and older  (e.g., clothes, medical coupons, everything)",15,04/08/2010 07:00:00 AM +0000
Youth Development,Basic Needs,"Supportive networks between youth, parents and communities (basic needs are met).",12,03/01/2010 08:00:00 AM +0000
Youth Development,Civic Engagement,awareness of the importance of community through school - Civic Education,Horizon House,04/12/2010 07:00:00 AM +0000
Youth Development,Engagement,"Creative, innovative ways to engage youth, think outside the box, youth need to feel valued.",6,02/22/2010 08:00:00 AM +0000
Youth Development,Engagement,"Lack of relevant programming and outreach (the youth are not there, we are not meeting their needs)",School's Out Washington Group B,04/15/2010 07:00:00 AM +0000
Youth Development,Family Involvement,"Teach about Character and integrity at home, in the ""Village"" and at school.",African American Males Group for the League of Education Voters,04/12/2010 07:00:00 AM +0000
Youth Development,Funding/Resources,Funding for Youth development programs,Filipino Community,
Youth Development,Funding/Resources,Funding for youth programs not spread equally,9,02/22/2010 08:00:00 AM +0000
Youth Development,Funding/Resources,Invest in young people.,12,03/08/2010 08:00:00 AM +0000
Youth Development,Juvenile Justice System,Second chances for juvenile offenders; prevention and post.,11,03/08/2010 08:00:00 AM +0000
Youth Development,Funding/Resources,Lack of stable and adequate funding for youth services,School's Out Washington Group B,04/15/2010 07:00:00 AM +0000
Youth Development,Funding/Resources,"With the ludicrous budgets that are being proposed I am fearful that by the time students get to middle school their issues and habits will be cemented.  With no elementary interventions I believe that we will have a lost generation of juveniles.  It is foolish to think that with no support our educational woes will not increase.  Our superintendant is the issue.  She displaced all academic coaches in the district, but failed to notify the public of this heinous act.  We want results but with no resources how will that happen, really?",Web,
Youth Development,Girl's Empowerment,"Abuse of Girls, pressure to have sex w/boys, boys taking power over girls.",East African Girl's Circle,05/12/2010 07:00:00 AM +0000
Youth Development,Girl's Empowerment,"More mentorship for East African girls form Middle School to High School, thru college.",East African Girl's Circle,05/12/2010 07:00:00 AM +0000
Youth Development,Homelessness,Homelessness especially youth,Seattle LGBT Commission,05/04/2010 07:00:00 AM +0000
Youth Development,Homelessness,More Teen Housing:  in the community where family lives; group homes; homeless teens; transitional housing,3,03/08/2010 08:00:00 AM +0000
Youth Development,Homelessness,Teen homelessness,20,04/08/2010 07:00:00 AM +0000
Youth Development,Homelessness,Youth homelessness,24,04/08/2010 07:00:00 AM +0000
Youth Development,Internships,educational internships,East African Community Group A,04/30/2010 07:00:00 AM +0000
Youth Development,Jobs/Training,Address issues with the City's Youth employment program,School's Out WA,04/27/2010 07:00:00 AM +0000
Youth Development,Jobs/Training,fewer youth jobs every year,Hope for Youth Group D,05/03/2010 07:00:00 AM +0000
Youth Development,Jobs/Training,Funding for youth employment has dried up.,"Seattle Parks Employees (CLC, TDL, AC)",05/11/2010 07:00:00 AM +0000
Youth Development,Jobs/Training,Inadequate job opportunities for youth who do not speak English.,15,04/08/2010 07:00:00 AM +0000
Youth Development,Jobs/Training,"job exposure for youth, mentorships and internships",Seattle Commission for People with Disabilities-- Group C,05/12/2010 07:00:00 AM +0000
Youth Development,Jobs/Training,"Jobs and apprenticeships; stipend, other income services (related to previous second chance item)",11,03/08/2010 08:00:00 AM +0000
Youth Development,Jobs/Training,Lack of employment opportunities in the community for BLACK YOUTH.,Black Child Development Institute,04/17/2010 07:00:00 AM +0000
Youth Development,Jobs/Training,Lack of jobs for youth.,9,03/08/2010 08:00:00 AM +0000
Youth Development,Jobs/Training,Lack of youth employment especially for a child who isn’t eligible for special ed but needs support in order to access the workplace.,16,03/01/2010 08:00:00 AM +0000
Youth Development,Jobs/Training,more jobs for students,Youth Undoing Institutional Racism Group B,04/13/2010 07:00:00 AM +0000
Youth Development,Jobs/Training,Not enough entry level work/employment for young people,Camp Ten Trees,05/04/2010 07:00:00 AM +0000
Youth Development,Jobs/Training,Not enough jobs for young people-trying to get real work experience but aren't getting hired.,Garfield Teen Life Center Young Men's Group,04/21/2010 07:00:00 AM +0000
Youth Development,Jobs/Training,trade opportunities for youth in high school to begin early if known to not be on college track,Youth Undoing Institutional Racism,04/13/2010 07:00:00 AM +0000
Youth Development,Jobs/Training,Youth employment,17,03/15/2010 07:00:00 AM +0000
