Department,Jobtitle,Female Avg Hrly Rate,No. Female Empl,Male Avg Hrly Rate,No. Male Empl,Total Avg Hrly Rate,Total No. Empl,Total Average of MONTHS LONGEVITY IN CURRENT CLASSIFICATION ,Ratio of women's hourly rate to men's hourly rate - percentage,Notes
Parks Department,Drainage&Wstwtr Coll Wkr,,,25.49,1,25.49,1,2,,No women in title
Parks Department,Drainage&Wstwtr Coll Wkr CI,,,28.09,1,28.09,1,12,,No women in title
Parks Department,Drainage&Wstwtr Lead Wkr CII,,,31.53,1,31.53,1,12,,No women in title
Parks Department,Ed Prgm Asst,22.56,3,,,22.56,3,75.67,,No men in title
Parks Department,Ed Prgm Supv,35.57,2,,,35.57,2,95.5,,No men in title
Parks Department,Elctn,36.25,1,35.97,5,36.02,6,77.33,100.78,
Parks Department,Elctn CC,40.13,1,,,40.13,1,14,,No men in title
Parks Department,"Elctn,Sr",,,37.51,1,37.51,1,9,,No women in title
Parks Department,"Envrnmtl Anlyst,Sr",43.1,2,43.1,1,43.1,3,102.33,100,
Parks Department,Equip Maint CC,,,34.92,1,34.92,1,120,,No women in title
Parks Department,Executive1,61.06,1,,,61.06,1,21,,No men in title
Parks Department,Executive2,63.46,2,66.35,4,65.39,6,48.17,95.64,
Parks Department,Exhibits Tech,,,28.03,1,28.03,1,53,,No women in title
Parks Department,Facilities Lead Wkr,,,26.5,1,26.5,1,65,,No women in title
Parks Department,Facilities Maint Wkr,26.5,1,26.18,3,26.26,4,155,101.22,
Parks Department,"Facility Maint Supv,Asst",,,43.91,1,43.91,1,68,,No women in title
Parks Department,Facility Techl Supv,,,34.94,1,34.94,1,6,,No women in title
Parks Department,"Fin Anlyst,Sr",39.96,2,,,39.96,2,97,,No men in title
Parks Department,Gardener,24.47,12,24.35,7,24.42,19,103.53,100.48,
Parks Department,"Gardener,Sr",27.11,7,27.17,12,27.15,19,126.79,99.78,
Parks Department,Golf Course Groundskeeper I,,,13.75,3,13.75,3,48,,No women in title
Parks Department,Golf Course Groundskeeper II,18.12,2,18.12,4,18.12,6,25,100,
Parks Department,Golf Course Maint Supv,,,33.78,4,33.78,4,97,,No women in title
Parks Department,Golf Course Tech,,,23.71,10,23.71,10,115.4,,No women in title
Parks Department,Graphic Arts Designer,29.99,1,,,29.99,1,232,,No men in title
Parks Department,Grounds Equip Mechanic,,,27.58,5,27.58,5,83.6,,No women in title
Parks Department,"Grounds Equip Mechanic,Sr",,,29.99,1,29.99,1,196,,No women in title
Parks Department,Grounds Maint Lead Wkr,26.5,5,26.5,9,26.5,14,93,100,
Parks Department,Human Svcs Prgm Supv,36.3,1,,,36.3,1,101,,No men in title
Parks Department,HVAC Tech,,,31.92,2,31.92,2,8,,No women in title
Parks Department,"Info Technol Prof A,Exempt",,,50.96,1,50.96,1,160,,No women in title
Parks Department,Info Technol Prof B,43.1,1,42.24,3,42.45,4,133.5,102.03,
Parks Department,Info Technol Prof C,,,35.19,3,35.19,3,21.67,,No women in title
Parks Department,Info Technol Systs Anlyst,,,38.48,3,38.48,3,134,,No women in title
Parks Department,Installation Maint Wkr,25.54,1,25.06,8,25.12,9,72.56,101.9,
Parks Department,Laborer,21.14,8,21.12,39,21.12,47,71.3,100.09,
Parks Department,"Landscape Architect,Sr",44.74,2,44.74,1,44.74,3,155.33,100,
Parks Department,Landscape Designer,30.85,1,,,30.85,1,62,,No men in title
Parks Department,Lifeguard,16.61,3,16.39,4,16.48,7,19.43,101.34,
Parks Department,"Lifeguard,Sr",19.5,12,19.46,9,19.48,21,57.29,100.21,
Parks Department,Maint Laborer,23.38,26,23.38,102,23.38,128,86.64,100,
Parks Department,"Manager1,General Govt",42.06,1,,,42.06,1,54,,No men in title
Parks Department,"Manager1,Parks&Rec",42.14,4,39.16,3,40.87,7,58.71,107.62,
Parks Department,"Manager2,Exempt",,,54.72,1,54.72,1,184,,No women in title
Parks Department,"Manager2,Fin,Bud,&Actg",49.58,1,45.79,1,47.69,2,13.5,108.29,
Parks Department,"Manager2,General Govt",51.65,1,47.67,1,49.66,2,117.5,108.35,
Parks Department,"Manager2,Human Svcs",40.45,1,,,40.45,1,103,,No men in title
Parks Department,"Manager2,Info Technol",,,51.03,1,51.03,1,13,,No women in title
Parks Department,"Manager2,P&FM",48.21,1,,,48.21,1,46,,No men in title
Parks Department,"Manager2,Parks&Rec",47.68,4,47.5,2,47.62,6,120.33,100.38,
Parks Department,"Manager3,CSPI&P",51.56,1,,,51.56,1,39,,No men in title
Parks Department,"Manager3,Engrng&Plans Rev",57.85,1,54.32,1,56.08,2,65.5,106.5,
Parks Department,"Manager3,Exempt",,,50.23,1,50.23,1,45,,No women in title
Parks Department,"Manager3,P&FM",,,52,1,52,1,1,,No women in title
Parks Department,"Manager3,Parks&Rec",,,52,1,52,1,1,,No women in title
Parks Department,Metal Fabricator,,,32.54,1,32.54,1,371,,No women in title
Parks Department,Metal Fabricator CC,,,34.57,1,34.57,1,64,,No women in title
Parks Department,Mgmt Systs Anlyst Supv,47.26,1,43.91,1,45.58,2,27,107.63,
Parks Department,"Mgmt Systs Anlyst,Asst",31.76,2,31.76,1,31.76,3,41.33,100,
Parks Department,"Mgmt Systs Anlyst,Sr",43.1,1,,,43.1,1,38,,No men in title
Parks Department,Naturalist,27.78,1,27.78,1,27.78,2,130.5,100,
Parks Department,"Naturalist,Sr",29.99,1,,,29.99,1,52,,No men in title
Parks Department,Park Horticulturist,44.74,1,,,44.74,1,141,,No men in title
Parks Department,Park Ranger,23.42,2,23.88,4,23.73,6,48.33,98.07,
Parks Department,Parks Concss Coord,36.99,2,,,36.99,2,95.5,,No men in title
Parks Department,Parks Maint Aide,,,14.48,8,14.48,8,46.38,,No women in title
Parks Department,Parks Maint CC,36.05,4,36.05,3,36.05,7,20.43,100,
Parks Department,"Parks Special Events Schdlr,Sr",25.28,1,28.35,2,27.33,3,14.33,89.17,
Parks Department,Parks Special Events Schedlr,26.26,5,26.26,1,26.26,6,125.17,100,
Parks Department,Personnel Spec,,,33.69,3,33.69,3,105.33,,No women in title
Parks Department,"Personnel Spec,Asst",26.79,1,,,26.79,1,140,,No men in title
Parks Department,"Personnel Spec,Sr",36.3,1,36.3,1,36.3,2,76.5,100,
Parks Department,"Personnel Spec,Supvsng",,,43.91,1,43.91,1,178,,No women in title
Parks Department,Plng&Dev Spec I,,,34.94,1,34.94,1,153,,No women in title
Parks Department,Plng&Dev Spec II,37.7,2,37.7,1,37.7,3,114.67,100,
Parks Department,"Plng&Dev Spec,Sr",41.06,3,43.1,2,41.88,5,79.2,95.27,
Parks Department,Plnt Ecologist,,,31.82,2,31.82,2,34.5,,No women in title
Parks Department,Plumber,,,34.16,9,34.16,9,138.56,,No women in title
Parks Department,Plumber Aprn,,,28.78,1,28.78,1,59,,No women in title
Parks Department,"Plumber,Sr",36.9,1,36.9,2,36.9,3,133.33,100,
Parks Department,Pntr,,,30.28,4,30.28,4,242.75,,No women in title
Parks Department,Pntr CC,,,34.75,1,34.75,1,176,,No women in title
Parks Department,Pool Maint Lead Wkr,,,28.35,1,28.35,1,222,,No women in title
Parks Department,Pool Maint Wkr,25.54,3,25.54,6,25.54,9,168.89,100,
Parks Department,"Prjt Fund&Agreemts Coord,Sr",39.96,1,,,39.96,1,87,,No men in title
Parks Department,Publc Ed Prgm Spec,31.16,5,,,31.16,5,132.6,,No men in title
Parks Department,Publc Ed Prgm Supv,39.2,1,39.2,1,39.2,2,63.5,100,
Parks Department,"Publc Relations Spec,Sr",36.3,1,,,36.3,1,59,,No men in title
Parks Department,Radio Dispatcher,24.35,3,,,24.35,3,88.33,,No men in title
Parks Department,Real Property Agent,,,38.22,1,38.22,1,5,,No women in title
Parks Department,"Real Property Agent,Sr",45.39,2,45.39,1,45.39,3,204.33,100,
Parks Department,Rec Attendant,16.76,20,16.59,20,16.67,40,99.73,101.02,
Parks Department,Rec Cntr Coord,32.2,15,31.93,8,32.11,23,88.83,100.87,
Parks Department,"Rec Cntr Coord,Asst",29.54,6,29.54,4,29.54,10,120.8,100,
Parks Department,Rec Leader,23.82,18,24.28,23,24.07,41,73.56,98.1,
Parks Department,Rec Prgm Coord,33.69,2,32.95,5,33.16,7,67.29,102.25,
Parks Department,"Rec Prgm Coord,Sr",36.3,2,36.3,6,36.3,8,54.63,100,
Parks Department,Rec Prgm Spec,28.39,18,28.03,5,28.31,23,79.91,101.29,
Parks Department,"Rec Prgm Spec,Sr",31.76,3,31.76,2,31.76,5,129.8,100,
Parks Department,Seattle Conserv Corps Supv,,,26.5,7,26.5,7,51.86,,No women in title
Parks Department,"Seattle Conserv Corps Supv,Sr",,,29.41,2,29.41,2,48,,No women in title
Parks Department,Security Supv,,,31.76,1,31.76,1,19,,No women in title
Parks Department,Sfty&Hlth Spec,39.2,1,,,39.2,1,169,,No men in title
Parks Department,Sfty&Hlth Supv,,,45.51,1,45.51,1,24,,No women in title
Parks Department,Special C Lead Wkr,,,28.35,1,28.35,1,226,,No women in title
Parks Department,"StratAdvsr1,General Govt",38.9,1,,,38.9,1,63,,No men in title
Parks Department,"StratAdvsr1,Parks&Rec",39.76,3,42.38,2,40.81,5,86.6,93.83,
Parks Department,"StratAdvsr2,Engrng&Plans Rev",,,47.21,1,47.21,1,45,,No women in title
Parks Department,"StratAdvsr2,Fin,Bud,&Actg",46.49,1,46.12,1,46.3,2,41.5,100.79,
Parks Department,"StratAdvsr2,General Govt",43.39,2,,,43.39,2,63,,No men in title
Parks Department,"StratAdvsr3,Exempt",,,59.39,2,59.39,2,42,,No women in title
Parks Department,"Surveyor,Chief",,,45.25,1,45.25,1,160,,No women in title
Parks Department,Tennis Instructor,,,22.96,5,22.96,5,101.2,,No women in title
Parks Department,Tree Trimmer,,,27.96,5,27.96,5,65.8,,No women in title
Parks Department,"Tree Trimmer,Lead",,,30.54,2,30.54,2,114,,No women in title
Parks Department,Trng&Ed Coord,33.69,1,,,33.69,1,103,,No men in title
Parks Department,"Trng&Ed Coord,Sr",,,36.3,1,36.3,1,153,,No women in title
Parks Department,Truck Drvr,,,27.58,10,27.58,10,136.2,,No women in title
Parks Department,"Truck Drvr,Heavy",,,29,4,29,4,124.25,,No women in title
Parks Department,Util Laborer,22.56,1,22.56,19,22.56,20,135.75,100,
Parks Department,Volunteer Prgms Coord,29.99,3,29.99,1,29.99,4,53.75,100,
Parks Department,Warehouse Supv,,,34.94,1,34.94,1,60,,No women in title
Personnel Department,"Accountant,Sr",35.57,1,35.57,1,35.57,2,161.5,100,
Personnel Department,Actg Tech II,24.35,3,,,24.35,3,76.33,,No men in title
Personnel Department,Admin Spec I,22.56,2,,,22.56,2,166.5,,No men in title
Personnel Department,Admin Spec II,24.35,3,24.35,1,24.35,4,87,100,
Personnel Department,Admin Staff Asst,29.51,2,,,29.51,2,108.5,,No men in title
Personnel Department,Benefits Asst,26.26,2,,,26.26,2,203,,No men in title
Personnel Department,Dispute Resolution Mediator,38.48,1,,,38.48,1,96,,No men in title
Personnel Department,Executive2,55.69,2,67.99,1,59.79,3,62,81.9,
Personnel Department,Executive3,,,66.08,2,66.08,2,57.5,,No women in title
Personnel Department,Fin Anlyst,33.69,1,,,33.69,1,30,,No men in title
Personnel Department,HRIS Spec,33.69,2,33.69,1,33.69,3,90,100,
Personnel Department,"Indus Hygienist,Certified",,,44.74,1,44.74,1,5,,No women in title
Personnel Department,Labor Relations Spec,42.25,2,,,42.25,2,75,,No men in title
Personnel Department,"Manager2,General Govt",50.02,1,,,50.02,1,84,,No men in title
Personnel Department,"Manager3,Fin,Bud,&Actg",51.65,1,,,51.65,1,51,,No men in title
Personnel Department,"Manager3,General Govt",52.44,1,,,52.44,1,66,,No men in title
Personnel Department,Mgmt Systs Anlyst,40.98,1,,,40.98,1,26,,No men in title
Personnel Department,Personnel Anlyst,36.3,3,,,36.3,3,72.33,,No men in title
Personnel Department,Personnel Anlyst Supv,49.05,2,,,49.05,2,45.5,,No men in title
Personnel Department,Personnel Anlyst Supv-Comp,49.05,1,,,49.05,1,64,,No men in title
Personnel Department,"Personnel Anlyst,Sr",40.27,3,,,40.27,3,61.33,,No men in title
Personnel Department,"Personnel Anlyst,Sr-Comp",39.97,2,42.25,2,41.11,4,35.5,94.6,
Personnel Department,"Personnel Spec,Asst",26.79,1,,,26.79,1,76,,No men in title
Personnel Department,"Personnel Spec,Sr",36.3,1,,,36.3,1,21,,No men in title
Personnel Department,Plng&Dev Spec I,33.69,1,,,33.69,1,30,,No men in title
Personnel Department,Sfty/Ocuptnl Hlth Coord,42.25,1,,,42.25,1,64,,No men in title
Personnel Department,Special Exams Anlyst,36.3,2,,,36.3,2,182,,No men in title
Personnel Department,"StratAdvsr1,Fin,Bud,&Actg",,,42.21,1,42.21,1,49,,No women in title
Personnel Department,"StratAdvsr1,General Govt",,,46.47,4,46.47,4,64.5,,No women in title
Personnel Department,"StratAdvsr1,Human Svcs",40.27,1,,,40.27,1,133,,No men in title
Personnel Department,"StratAdvsr3,General Govt",52.83,5,54.63,3,53.5,8,63.75,96.71,
Personnel Department,Temp Emplmnt Spec,33.69,1,,,33.69,1,115,,No men in title
Personnel Department,Trng Dev&Prgm Coord,33.69,1,,,33.69,1,116,,No men in title
Personnel Department,"Trng&Ed Coord,Asst",26.79,2,,,26.79,2,118,,No men in title
Personnel Department,"Trng&Ed Coord,Sr",34.35,2,,,34.35,2,20.5,,No men in title
Personnel Department,Workers' Comp Anlyst,35.26,5,,,35.26,5,58.4,,No men in title
Personnel Department,"Workers' Comp Anlyst,Sr",36.99,1,,,36.99,1,25,,No men in title
Personnel Department,Workers' Comp Spec,28.84,1,,,28.84,1,18,,No men in title
Personnel Department,Workers' Comp Supv,43.1,1,,,43.1,1,58,,No men in title
Police Department,"Accountant,Sr",35.57,2,,,35.57,2,125,,No men in title
Police Department,Actg Tech II,21.77,1,,,21.77,1,3,,No men in title
Police Department,Actg Tech II-BU,23.06,2,21.77,1,22.63,3,21.67,105.93,
Police Department,Actg Tech III,25.77,1,,,25.77,1,5,,No men in title
Police Department,Actg Tech III-BU,26.28,2,,,26.28,2,37,,No men in title
Police Department,Admin Spec I-BU,22.33,27,22.56,3,22.35,30,106,98.97,
Police Department,Admin Spec II,24.35,3,,,24.35,3,67.33,,No men in title
Police Department,Admin Spec II-BU,24.35,34,24.35,5,24.35,39,81.85,100,
Police Department,Admin Spec III,26.26,1,,,26.26,1,57,,No men in title
Police Department,Admin Spec III-BU,25.68,5,,,25.68,5,99.8,,No men in title
Police Department,Admin Staff Anlyst,34.13,3,,,34.13,3,45.33,,No men in title
Police Department,Admin Staff Asst,30.91,8,31.76,3,31.14,11,72.09,97.32,
Police Department,Admin Support Supv-BU,27.78,4,27.78,1,27.78,5,96.8,100,
Police Department,Crime Prev Coord,33.69,1,33.69,3,33.69,4,254.25,100,
Police Department,Equip Svcr,,,24.56,1,24.56,1,116,,No women in title
Police Department,Equip&Facilities Coord,,,34.04,7,34.04,7,84,,No women in title
Police Department,"Equip&Facils Coord,Sr",,,37.7,1,37.7,1,175,,No women in title
Police Department,Evidence Warehouser,23.8,3,25.03,2,24.29,5,80.6,95.1,
Police Department,"Evidence Warehouser,Sr",27.54,2,27.54,4,27.54,6,69.83,100,
Police Department,"Exec Asst,Sr",44.74,1,,,44.74,1,139,,No men in title
Police Department,Executive1,,,58.38,1,58.38,1,10,,No women in title
Police Department,Executive2,64.49,2,68.48,1,65.82,3,52.33,94.17,
Police Department,Executive3,79.35,1,,,79.35,1,71,,No men in title
Police Department,Executive4,,,90.08,7,90.08,7,63,,No women in title
Police Department,Fleet Mgmt Anlyst,,,36.3,1,36.3,1,364,,No women in title
Police Department,Identification Data Spec,24.22,6,24.36,2,24.25,8,57.5,99.42,
Police Department,Identification Tech,31.57,7,31.74,1,31.59,8,120.63,99.46,
Police Department,"Info Technol Prof A,Exempt",56.66,2,49.82,2,53.24,4,43,113.73,
Police Department,Info Technol Prof B,42.01,1,,,42.01,1,2,,No men in title
Police Department,Info Technol Prof B-BU,48.5,6,45.63,11,46.64,17,72.88,106.28,
Police Department,Info Technol Prof C-BU,31.02,1,37.45,7,36.64,8,14.5,82.84,
Police Department,Info Technol Systs Anlyst,38.48,1,,,38.48,1,160,,No men in title
Police Department,Latent Print Examiner,34.55,9,36.3,1,34.72,10,60.1,95.18,
Police Department,Latent Print Supv,39.96,1,,,39.96,1,262,,No men in title
Police Department,Legal Asst,23.88,1,23.88,1,23.88,2,15,100,
Police Department,Maint Laborer,,,23.38,3,23.38,3,16,,No women in title
Police Department,"Manager1,CL&PS",37.42,2,,,37.42,2,33,,No men in title
Police Department,"Manager2,Fin,Bud,&Actg",41.97,1,,,41.97,1,140,,No men in title
Police Department,"Manager2,General Govt",41.42,2,52.28,2,46.85,4,44,79.24,
Police Department,"Manager2,Info Technol",,,51.87,3,51.87,3,135.67,,No women in title
Police Department,"Manager3,CL&PS",,,50.78,1,50.78,1,64,,No women in title
Police Department,"Manager3,Exempt",50.79,1,,,50.79,1,13,,No men in title
Police Department,"Manager3,Fin,Bud,&Actg",58.43,1,,,58.43,1,184,,No men in title
Police Department,"Manager3,Info Technol",,,59.63,1,59.63,1,53,,No women in title
Police Department,Marine Equip Svcr,,,34.32,1,34.32,1,24,,No women in title
Police Department,Mgmt Systs Anlyst,34.94,1,32.39,1,33.67,2,22,107.87,
Police Department,Mgmt Systs Anlyst Supv,,,47.26,1,47.26,1,125,,No women in title
Police Department,"Mgmt Systs Anlyst,Sr",43.1,2,43.1,1,43.1,3,71.33,100,
Police Department,Parking Enf Ofcr,24.53,50,24.51,55,24.52,105,103.74,100.07,
Police Department,Parking Enf Ofcr Supv,29.64,3,30.27,9,30.11,12,51.08,97.93,
Police Department,Payroll Supv,37.7,1,,,37.7,1,196,,No men in title
Police Department,Personnel Spec,33.69,1,,,33.69,1,287,,No men in title
Police Department,"Personnel Spec,Asst",25.78,2,,,25.78,2,66,,No men in title
Police Department,"Personnel Spec,Sr",34.54,3,,,34.54,3,28.67,,No men in title
Police Department,"Photographer,Sr",,,32.79,2,32.79,2,177.5,,No women in title
Police Department,Photographic Svcs Supv,,,35.43,1,35.43,1,23,,No women in title
Police Department,Plng&Dev Spec I,34.94,1,,,34.94,1,145,,No men in title
Police Department,Plng&Dev Spec II,37.7,1,,,37.7,1,86,,No men in title
Police Department,"Plng&Dev Spec,Sr",42.33,2,43.1,2,42.71,4,65.5,98.2,
Police Department,Pol Capt,,,75.26,10,75.26,10,52.8,,No women in title
Police Department,Pol Capt - Permanent Night,,,80.23,1,80.23,1,28,,No women in title
Police Department,Pol Capt - Traffic,,,78.92,1,78.92,1,4,,No women in title
Police Department,Pol Capt - Violent Crime,,,80.23,1,80.23,1,6,,No women in title
Police Department,Pol Capt-Precinct,81.65,1,80.61,4,80.81,5,26,101.3,
Police Department,Pol Comms Anlyst,36.75,2,,,36.75,2,85,,No men in title
Police Department,Pol Comms Dispatcher I,25.12,39,24.47,11,24.97,50,64.8,102.63,
Police Department,Pol Comms Dispatcher II,30.2,27,29.82,7,30.12,34,93.97,101.26,
Police Department,Pol Comms Dispatcher III,33.99,7,33.62,5,33.84,12,82.83,101.12,
Police Department,Pol Comms Dispatcher Supv,40,2,40,1,40,3,28,100,
Police Department,"Pol Comms Dispatcher,Chief",37.4,4,37.73,2,37.51,6,72.33,99.12,
Police Department,Pol Data Tech,24.85,21,25.06,2,24.87,23,102.87,99.18,
Police Department,Pol Data Tech Supv,29.78,2,,,29.78,2,64,,No men in title
Police Department,"Pol Data Tech,Sr",26.55,6,26.55,1,26.55,7,138.71,100,
Police Department,Pol Lieut,62.84,4,65.36,37,65.11,41,98.12,96.15,
Police Department,Pol Ofcr,39.14,15,38.45,135,38.52,150,36.91,101.78,
Police Department,Pol Ofcr- Student,34.09,9,33.36,28,33.53,37,4.43,102.19,
Police Department,Pol Ofcr-Academy Instructor,45.57,1,44.44,15,44.51,16,89.88,102.54,
Police Department,Pol Ofcr-Canine,45.98,1,45.47,12,45.51,13,85.08,101.12,
Police Department,Pol Ofcr-Detective,44.55,41,44.96,114,44.85,155,117.99,99.1,
Police Department,Pol Ofcr-Detective-Bomb Squad,47.18,1,47.5,5,47.45,6,144.17,99.32,
Police Department,Pol Ofcr-Detective-Homicide,45.17,2,46.33,16,46.2,18,107.44,97.51,
Police Department,Pol Ofcr-Diver,,,46.99,22,46.99,22,99.18,,No women in title
Police Department,Pol Ofcr-DWI-Am/Pm Enf,44.35,4,44.22,13,44.25,17,114.24,100.31,
Police Department,Pol Ofcr-Hostage Neg-Patrl,45.17,2,45.32,11,45.29,13,88.23,99.68,
Police Department,Pol Ofcr-Motorcycle,45.57,1,45.2,28,45.21,29,166.41,100.83,
Police Department,Pol Ofcr-Non Patrol,44.15,2,43.55,4,43.75,6,42.33,101.38,
Police Department,Pol Ofcr-Patrl,43.91,83,44.14,493,44.11,576,113.87,99.49,
Police Department,Pol Ofcr-SWAT,,,45,24,45,24,107.08,,No women in title
Police Department,Pol Recruit,25.98,1,25.98,14,25.98,15,1.93,100,
Police Department,Pol Sgt-Academy Instructor,,,51.09,3,51.09,3,50,,No women in title
Police Department,Pol Sgt-Canine,,,52.04,1,52.04,1,23,,No women in title
Police Department,Pol Sgt-Detective,51.53,8,51.52,30,51.52,38,76.03,100.01,
Police Department,Pol Sgt-Detective-Bomb Squad,,,54.46,2,54.46,2,163,,No women in title
Police Department,Pol Sgt-Detective-Homicide,,,52.84,3,52.84,3,105,,No women in title
Police Department,Pol Sgt-Diver,,,53.85,4,53.85,4,114.5,,No women in title
Police Department,Pol Sgt-DWI-Am/Pm Enf,,,51.83,3,51.83,3,129,,No women in title
Police Department,Pol Sgt-Hostage Neg-Patrl,,,52.64,2,52.64,2,58.5,,No women in title
Police Department,Pol Sgt-Motorcycle,,,51.36,3,51.36,3,49.33,,No women in title
Police Department,Pol Sgt-Non Patrol,51.83,1,,,51.83,1,66,,No men in title
Police Department,Pol Sgt-Patrl,51.98,8,52.14,72,52.13,80,89.81,99.69,
Police Department,Pol Sgt-SWAT,,,52.64,4,52.64,4,51.75,,No women in title
Police Department,"StratAdvsr1,CL&PS",44.84,2,,,44.84,2,50,,No men in title
Police Department,"StratAdvsr2,CL&PS",46.01,5,49.62,3,47.37,8,51.63,92.72,
Police Department,"StratAdvsr2,CSPI&P",46.54,1,,,46.54,1,66,,No men in title
Police Department,"StratAdvsr2,Exempt",51.65,2,51.73,2,51.69,4,39.5,99.84,
Police Department,"StratAdvsr2,General Govt",49.79,2,,,49.79,2,91,,No men in title
Police Department,"StratAdvsr3,Exempt",52.11,1,,,52.11,1,21,,No men in title
Police Department,Tenprint Supv,35.57,2,,,35.57,2,168,,No men in title
Police Department,Victim Advocate,30,6,30.55,2,30.14,8,119.25,98.2,
Police Department,Video Spec II,,,35.65,4,35.65,4,91,,No women in title
Police Department,Volunteer Supv,26.26,1,,,26.26,1,63,,No men in title
Police Department,"Warehouser,Chief",30.88,1,30.88,2,30.88,3,50.67,100,
Police Department,"Warehouser,Sr",,,26.5,1,26.5,1,176,,No women in title
Police Department,Warehouser-BU,,,24.08,1,24.08,1,72,,No women in title
Police Pension System,Contract Employee *,45.96,2,61.42,1,51.11,3,33.33,74.82,
Seattle Center,Accountant,30.92,2,,,30.92,2,163.5,,No men in title
Seattle Center,Actg Tech I-BU,22.56,1,,,22.56,1,141,,No men in title
Seattle Center,Actg Tech II-BU,24.35,3,24.35,1,24.35,4,142,100,
Seattle Center,Actg Tech III-BU,26.79,1,,,26.79,1,144,,No men in title
Seattle Center,Actg Tech Supv-BU,28.84,1,,,28.84,1,148,,No men in title
Seattle Center,Admin Spec I-BU,,,22.56,1,22.56,1,90,,No women in title
Seattle Center,Admin Spec II,24.35,2,,,24.35,2,57,,No men in title
Seattle Center,Admin Spec II-BU,24.35,8,,,24.35,8,85.75,,No men in title
Seattle Center,Admin Spec III-BU,26.26,1,,,26.26,1,50,,No men in title
Seattle Center,Admin Staff Anlyst,31.16,1,,,31.16,1,3,,No men in title
Seattle Center,Admin Staff Asst,31.76,1,,,31.76,1,67,,No men in title
Seattle Center,Adms Employee,17.11,5,17.11,8,17.11,13,107.46,100,
Seattle Center,Adms Personnel Dispatcher,,,24.1,1,24.1,1,161,,No women in title
Seattle Center,"Arts Prgm Spec,Sr",37.7,1,,,37.7,1,75,,No men in title
Seattle Center,Capital Prjts Coord,,,41.56,1,41.56,1,53,,No women in title
Seattle Center,"Capital Prjts Coord,Chief",49.33,1,,,49.33,1,67,,No men in title
Seattle Center,Carpenter,,,30.28,3,30.28,3,133.33,,No women in title
Seattle Center,Carpenter CC,,,32.08,1,32.08,1,0,,No women in title
Seattle Center,Dining Room Attendant,15.66,2,14.8,1,15.37,3,40,105.81,
Seattle Center,"Dining Room Attendant,Sr",,,18.11,1,18.11,1,97,,No women in title
Seattle Center,Elctn,,,36.25,6,36.25,6,163.67,,No women in title
Seattle Center,Elctn CC,40.13,1,,,40.13,1,268,,No men in title
Seattle Center,Events Booking Rep,29.99,1,,,29.99,1,24,,No men in title
Seattle Center,"Events Booking Rep,Sr",36.3,1,31.16,1,33.73,2,56.5,116.5,
Seattle Center,Events Svc Rep,32.39,3,,,32.39,3,93,,No men in title
Seattle Center,"Events Svc Rep,Sr",36.3,2,36.3,2,36.3,4,111.75,100,
Seattle Center,"Exec Asst,Sr",44.74,1,,,44.74,1,56,,No men in title
Seattle Center,Executive2,58.83,2,56.45,3,57.4,5,87.2,104.21,
Seattle Center,Executive4,,,69.22,1,69.22,1,75,,No women in title
Seattle Center,Facilities Lead Wkr,,,26.5,4,26.5,4,84.75,,No women in title
Seattle Center,"Facility Maint Supv,Asst",,,43.91,1,43.91,1,136,,No women in title
Seattle Center,"Fin Anlyst,Sr",38.48,1,,,38.48,1,31,,No men in title
Seattle Center,Gardener,24.35,2,22.56,1,23.75,3,61.33,107.93,
Seattle Center,Graphic Arts Designer,28.84,1,29.99,1,29.42,2,37.5,96.17,
Seattle Center,Grounds Maint Lead Wkr,,,26.5,1,26.5,1,121,,No women in title
Seattle Center,HVAC Tech,,,33.01,8,33.01,8,70,,No women in title
Seattle Center,"Info Technol Prof A,Exempt",,,54.43,1,54.43,1,89,,No women in title
Seattle Center,Info Technol Prof B,,,47.24,2,47.24,2,128.5,,No women in title
Seattle Center,Info Technol Prof C,43.48,1,45.33,2,44.71,3,148.33,95.92,
Seattle Center,Info Technol Techl Support,25.77,1,,,25.77,1,100,,No men in title
Seattle Center,Installation Maint Wkr,,,25.54,2,25.54,2,173,,No women in title
Seattle Center,"Janitor,Lead-SC/Parks/SPU",20.96,1,19.38,1,20.17,2,96.5,108.15,
Seattle Center,Janitor-SC/Parks/SPU,19.38,8,19.38,5,19.38,13,94.38,100,
Seattle Center,Laborer,20.64,5,20.89,11,20.81,16,82.13,98.79,
Seattle Center,Landscape Supv,33.93,1,,,33.93,1,176,,No men in title
Seattle Center,Lock Tech,,,27.78,1,27.78,1,154,,No women in title
Seattle Center,Maint Laborer,,,23.38,3,23.38,3,39.33,,No women in title
Seattle Center,"Manager1,CSPI&P",43.05,3,,,43.05,3,144,,No men in title
Seattle Center,"Manager1,Fin,Bud,&Actg",43.37,1,43.78,1,43.58,2,48,99.06,
Seattle Center,"Manager1,P&FM",40.2,1,36.76,1,38.48,2,77,109.34,
Seattle Center,"Manager2,CSPI&P",45.26,3,44.68,1,45.12,4,102.75,101.31,
Seattle Center,"Manager2,Exempt",51.37,1,,,51.37,1,43,,No men in title
Seattle Center,"Manager3,CSPI&P",,,50.07,1,50.07,1,122,,No women in title
Seattle Center,Marketing Dev Coord,39.96,1,,,39.96,1,67,,No men in title
Seattle Center,Metal Fabricator,,,32.54,2,32.54,2,191,,No women in title
Seattle Center,Mgmt Systs Anlyst,36.3,1,,,36.3,1,241,,No men in title
